text,href
"HELLO! Online: celeb & royal news, magazine, babies, weddings, …","http://www.hellomagazine.com/"
"Hello - Wikipedia, the free encyclopedia","http://en.wikipedia.org/wiki/Hello"
"Hello | Define Hello at Dictionary.com","http://dictionary.reference.com/browse/hello"
"hello - definition of hello by the Free Online Dictionary ...","http://www.thefreedictionary.com/hello"
"Lionel Richie - Hello - YouTube","http://www.youtube.com/watch?v=PDZcqBgCS74"
"Saint Louis, Missouri - Saint Louis City Guide","http://www.hellosaintlouis.com/"
"Hello - Definition and More from the Free Merriam-Webster …","http://www.merriam-webster.com/dictionary/hello"
"Hello From St. Louis! - Introductions & Biography - Greytalk","http://forum.greytalk.com/index.php/topic/298217-hello-from-st-louis/"
